"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
977,"SHIP CONSTRUCTION","Kildare","Dunmurry Rise, Bishopsland, Kildare Town",32,"*N/A","","","","","","Q3-2019"
978,"SHIP CONSTRUCTION","Kildare","Anne Street, Prosperous",12,"*N/A","","","","","Q1-2019",""
979,"SHIP CONSTRUCTION","Kildare","Beechgrove, Rathangan",18,"*N/A","","","","","","Q4-2019"
980,"SHIP CONSTRUCTION","Kildare","Kilcock (Phase 2.1)",6,"*N/A","","","","","","Q4-2017"
981,"SHIP CONSTRUCTION","Kildare","Athgarvan Road, Newbridge",13,"*N/A","","","","","","Q3-2018"
982,"CAS CONSTRUCTION","Kildare","Craddockstown, Naas",3,"KARE Promoting Inclusion for People with Intellectual Disabilities","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
983,"CAS CONSTRUCTION","Kildare","Main St., Kilcullen",4,"Camphill Communities of Ireland","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
984,"CAS CONSTRUCTION","Kildare","El Kantara, Newbridge",2,"KARE Promoting Inclusion for People with Intellectual Disabilities","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
985,"CAS CONSTRUCTION","Kildare","Jigginstown House, Naas",12,"Homeless Care Ltd","","","","","Q4-2019",""
986,"CAS CONSTRUCTION","Kildare","St. John's Convent, New Street, Rathangan",28,"Sophia Housing Association Ltd","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
987,"CALF Turnkey","Kildare","Bellingsfield, Naas, Kildare (Phase 1)*",10,"Respond","","","","","","Q4-2018"
988,"CALF Turnkey","Kildare","Carton Grove, Maynooth, Co. Kildare (Phase 1)*",5,"Clanmil Housing Association Ireland","","","","","","Q4-2018"
989,"CALF Turnkey","Kildare","Castle Farm, Jigginstown, Naas, Co. Kildare (Phase 1)",8,"T�ath Housing Association Ltd","","","","","","Q4-2019"
990,"CALF Turnkey","Kildare","Castle Farm, Naas, Co. Kildare (Phase 1)*",8,"T�ath Housing Association Ltd","","","","","","Q2-2019"
991,"CALF Construction","Kildare","Castlefen, Castlesize, Sallins, Co. Kildare (Phase 1)",29,"T�ath Housing Association Ltd","","","","","Q1-2020",""
992,"CALF Turnkey","Kildare","Cathedral Apartments, Firecastle Lane, Kildare Town, Co. Kildare (Phase 1)*",6,"Cill Dara Housing Association","","","","","","Q4-2019"
993,"CALF Turnkey","Kildare","Cathedral Apartments, Firecastle Lane, Kildare Town, Co. Kildare (Phase 2)*",11,"Cill Dara Housing Association","","","","","","Q4-2019"
994,"CALF Turnkey","Kildare","Elsmore, Jigginstown and Oakpark, Craddockstown, Naas, Kildare (Phase 1)*",26,"T�ath Housing Association Ltd","","","","","","Q4-2019"
995,"CALF Turnkey","Kildare","Elsmore, Jigginstown and Oakpark, Craddockstown, Naas, Kildare (Phase 2)*",17,"T�ath Housing Association Ltd","","","","","Q2-2018",""
996,"CALF Turnkey","Kildare","Elsmore, Jigginstown, Nass, Co. Kildare (Phase 1)*",8,"T�ath Housing Association Ltd","","","","","","Q4-2018"
997,"CALF Turnkey","Kildare","Elsmore, Jigginstown, Nass, Co. Kildare (Phase 2)*",3,"T�ath Housing Association Ltd","","","","","","Q3-2019"
998,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 1)",18,"T�ath Housing Association Ltd","","","","","","Q1-2019"
999,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 2)",6,"T�ath Housing Association Ltd","","","","","","Q1-2019"
1000,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 3)",6,"T�ath Housing Association Ltd","","","","","","Q1-2019"
1001,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 4)",6,"T�ath Housing Association Ltd","","","","","","Q2-2019"
1002,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 5)",4,"T�ath Housing Association Ltd","","","","","","Q2-2019"
1003,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 6)",5,"T�ath Housing Association Ltd","","","","","","Q3-2019"
1004,"CALF Turnkey","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 7)*",18,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1005,"CALF Construction","Kildare","Flinters Field (Phase 2), Athy, Co. Kildare (Phase 1)",35,"Respond","","","","Q2-2020","",""
1006,"CALF Turnkey","Kildare","Hawthorn Manor, Brockagh, Coill Dubh, Co. Kildare (Phase 1)*",5,"Oaklee Housing","","","","","","Q4-2019"
1007,"CALF Turnkey","Kildare","Kilbelin Abbey, Kildare, Phase 1 (Phase 1)*",4,"Cluid Housing","","","","","Q2-2019",""
1008,"CALF Turnkey","Kildare","Kilbelin Abbey, Kildare, Phase 2 (Phase 1)*",4,"Cluid Housing","","","","","Q2-2019",""
1009,"CALF Turnkey","Kildare","Ledwill Park, Kilcock, Co. Kildare (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2019"
1010,"CALF Turnkey","Kildare","Mariavilla and Elsmore, Kildare (Phase 1)*",15,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1011,"CALF Turnkey","Kildare","Millfield Manor, Newbridge, Co. Kildare (Phase 1)*",19,"Cluid Housing","","","","","","Q3-2018"
1012,"CALF Turnkey","Kildare","Morristown, Newbridge, Co Kildare (Phase 1)",14,"Cluid Housing","","","","","","Q1-2018"
1013,"CALF Turnkey","Kildare","Morristown, Newbridge, Co. Kildare (Phase 1)*",4,"Cluid Housing","","","","","","Q2-2018"
1014,"CALF Turnkey","Kildare","Oaktree, Tully Road, Kildare Town (Phase 1)*",10,"T�ath Housing Association Ltd","","","","","","Q2-2018"
1015,"CALF Turnkey","Kildare","Oaktree, Tully Road, Kildare Town (Phase 2)*",7,"T�ath Housing Association Ltd","","","","","","Q3-2018"
1016,"CALF Turnkey","Kildare","Phase 2, White Oaks, Newbridge, Kildare (Phase 1)",36,"Cluid Housing","","","","","","Q4-2019"
1017,"CALF Turnkey","Kildare","Revised Rye Abbey, Kilcock, Co Kildare (apts)\n (Phase 1)",33,"Cluid Housing","","","","","","Q2-2017"
1018,"CALF Turnkey","Kildare","Robertstown, Naas , Co.Kildare (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1019,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 1)",13,"T�ath Housing Association Ltd","","","","","","Q2-2017"
1020,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 2)",16,"T�ath Housing Association Ltd","","","","","","Q4-2017"
1021,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 3)",16,"T�ath Housing Association Ltd","","","","","","Q1-2018"
1022,"CALF Turnkey","Kildare","Rye Abbey, Kilcock - revised (houses) (Phase 1)",4,"Cluid Housing","","","","","","Q2-2017"
1023,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 1)*",5,"Cluid Housing","","","","","","Q4-2019"
1024,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 2)*",7,"Cluid Housing","","","","","Q4-2018",""
1025,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 3)*",12,"Cluid Housing","","","","","Q4-2018",""
1026,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)",18,"Respond","","","","","","Q4-2019"
1027,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)*",18,"Respond","","","","","Q3-2019",""
1028,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 2)",32,"Respond","","","","","","Q2-2020"
1029,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 1)*",14,"Cluid Housing","","","","","","Q4-2018"
1030,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 2)",24,"Cluid Housing","","","","","","Q4-2018"
1031,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 3)",20,"Cluid Housing","","","","","","Q1-2019"
