"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
560,"CAS CONSTRUCTION","Dublin City","Martanna House, High Park, Grace Park Road,Dublin 9",8,"Respond","","","","","","Q4-2018"
561,"CAS CONSTRUCTION","Dublin City","1 - 2 Rafter's Lane, Dublin 12",11,"Walkinston Housing Association Ltd (WALK)","","","","","","Q4-2019"
562,"CAS CONSTRUCTION","Dublin City","180-187 Townsend Street",18,"Peter McVerry Trust Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
563,"CAS CONSTRUCTION","Dublin City","Old Kilmainham Road, Dublin 8",11,"Arlington Novas Ireland Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
564,"CAS CONSTRUCTION","Dublin City","26 New Street South, Dublin 8",8,"Peter McVerry Trust Ltd","","","","","Q4-2019",""
565,"CAS CONSTRUCTION","Dublin City","Broome Lodge, Dunmanus, Dublin 7",10,"Cluid Housing Association","","","","","","Q4-2017"
566,"CAS CONSTRUCTION","Dublin City","St Agatha's Court, North William Street, Dublin 1",11,"Peter McVerry Trust Ltd","","","","","","Q2-2017"
567,"CAS CONSTRUCTION","Dublin City","55B Arbour Hill, Dublin 7",14,"Simon Community : Dublin Simon","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
568,"CAS CONSTRUCTION","Dublin City","St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,"Circle Voluntary Housing Association Ltd","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
569,"CAS CONSTRUCTION","Dublin City","Shaw Street, Dublin 2",12,"Peter McVerry Trust Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
570,"CAS CONSTRUCTION","Dublin City","Sarsfield Road, Ballyfermot, Dublin 10",6,"Respond","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
571,"CALF Construction","Dublin City","3 units, Block A Jamestown Court, Dublin 8 (Phase 1)",3,"ALONE","","","","","Q2-2019",""
572,"CALF Turnkey","Dublin City","9 units Dorset Street, Dublin 1 (Phase 1)",9,"Clanmil Housing Association Ireland","","","","","Q2-2019",""
573,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2016"
574,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,"T�ath Housing Association Ltd","","","","","","Q1-2017"
575,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2017"
576,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,"T�ath Housing Association Ltd","","","","","","Q3-2017"
577,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,"T�ath Housing Association Ltd","","","","","","Q4-2018"
578,"CALF Construction","Dublin City","Annamore Court, Ballyfermot (Phase 1)",70,"The Iveagh Trust","","","","","","Q2-2017"
579,"CALF Turnkey","Dublin City","Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,"Clanmil Housing Association Ireland","","","","","Q3-2019",""
580,"CALF Turnkey","Dublin City","Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,"Respond","","","","","","Q4-2018"
581,"CALF Construction","Dublin City","Ballygall Road East Phase 2 (Phase 1)",11,"Fold Housing Association Ireland Ltd","","","","","","Q1-2016"
582,"CALF Construction","Dublin City","Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,"Cluid Housing","","","","Q2-2018","",""
583,"CALF Turnkey","Dublin City","Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,"T�ath Housing Association Ltd","","","","","","Q2-2018"
584,"CALF Construction","Dublin City","Block A, Jamestown Court, Dublin 8 (Phase 1)",9,"ALONE","","","","","Q2-2019",""
585,"CALF Turnkey","Dublin City","Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,"Respond","","","","","Q4-2019",""
586,"CALF Turnkey","Dublin City","Bluebell Avenue, Dublin 12 (Phase 1)",7,"T�ath Housing Association Ltd","","","","","","Q4-2018"
587,"CALF Turnkey","Dublin City","Bow Lane West, Dublin 8 (Phase 1)",15,"Oaklee Housing","","","","","Q4-2017",""
588,"CALF Construction","Dublin City","Broome Lodge,\nDunmanus Court, Cabra (Phase 1)",33,"Cluid Housing","","","","","","Q4-2017"
589,"CALF Turnkey","Dublin City","Camac Park, Bluebell, Dublin 12 (Phase 1)",5,"T�ath Housing Association Ltd","","","","","","Q2-2020"
590,"CALF Turnkey","Dublin City","Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q1-2019"
591,"CALF Turnkey","Dublin City","Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,"Respond","","","","","","Q4-2017"
592,"CALF Turnkey","Dublin City","Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,"Respond","","","","","Q2-2019",""
593,"CALF Turnkey","Dublin City","Clongriffin, Dublin 13 (Phase 1)*",84,"The Iveagh Trust","","","","","","Q2-2019"
594,"CALF Turnkey","Dublin City","Cromwellsfort Court, Cromwellsfort Road, Walkinstown, Dublin 12 (Phase 1)*",12,"Oaklee Housing","","","","","Q2-2019",""
595,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 1)",3,"Cluid Housing","","","","","","Q2-2017"
596,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cluid Housing","","","","","","Q3-2017"
597,"CALF Construction","Dublin City","Harolds Cross, Dublin 6 (Phase 1)",28,"Focus Housing Association CLG","","","","","","Q4-2016"
598,"CALF Turnkey","Dublin City","Harolds Cross, Dublin 6W (Phase 1)",12,"Respond","","","","Q2-2020","",""
599,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,"T�ath Housing Association Ltd","","","","","","Q4-2019"
600,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",2,"T�ath Housing Association Ltd","","","","","Q4-2019",""
601,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 3)",2,"T�ath Housing Association Ltd","","","","","Q4-2019",""
602,"CALF Turnkey","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2017"
603,"CALF Turnkey","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cluid Housing","","","","","","Q4-2017"
604,"CALF Turnkey","Dublin City","Mountjoy Square North, Dublin 1 (Phase 1)",31,"Respond","","","","","","Q4-2019"
605,"CALF Construction","Dublin City","North King Street, Dublin 7  (Phase 1)",30,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
606,"CALF Turnkey","Dublin City","Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,"T�ath Housing Association Ltd","","","","","","Q4-2019"
607,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 1)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
608,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 2)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
609,"CALF Turnkey","Dublin City","Park West Campus, Kileen Road, Dublin 12 (Phase 1)",41,"T�ath Housing Association Ltd","","","","","Q1-2019",""
610,"CALF Turnkey","Dublin City","Park West Campus, Kileen Road, Dublin 12 (Phase 2)",43,"T�ath Housing Association Ltd","","","","","Q1-2019",""
611,"CALF Construction","Dublin City","Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
612,"CALF Construction","Dublin City","POST TENDER Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
613,"CALF Construction","Dublin City","Post Tender Johns Lane West Dublin 8 (Phase 1)",31,"Focus Housing Association CLG","","","","","","Q4-2018"
614,"CALF Construction","Dublin City","POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,"Oaklee Housing","","","","","","Q4-2019"
615,"CALF Turnkey","Dublin City","Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q2-2020","",""
616,"CALF Construction","Dublin City","Revised - Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","","Q2-2019",""
617,"CALF Construction","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"T�ath Housing Association Ltd","","","","","","Q4-2019"
618,"CALF Construction","Dublin City","Revised, St Mary�s Mansions, Dublin 1 (Phase 1)",80,"Cluid Housing","","","","","","Q4-2019"
619,"CALF Construction","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
620,"CALF Turnkey","Dublin City","Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,"Cluid Housing","","","","","Q1-2019",""
621,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
622,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,"Fold Housing Association Ireland Ltd","","","","","Q1-2018",""
623,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,"Fold Housing Association Ireland Ltd","","","","","","Q2-2020"
624,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,"Fold Housing Association Ireland Ltd","","","","","Q1-2018",""
625,"CALF Turnkey","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
626,"CALF Turnkey","Dublin City","Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
627,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 1)",28,"T�ath Housing Association Ltd","","","","","","Q2-2016"
628,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 2)",18,"T�ath Housing Association Ltd","","","","","","Q4-2016"
629,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 3)",14,"T�ath Housing Association Ltd","","","","","","Q1-2017"
630,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 4)",8,"T�ath Housing Association Ltd","","","","","","Q1-2017"
631,"CALF Turnkey","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
632,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
633,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
634,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
635,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
636,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
637,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
638,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
639,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
640,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
641,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
642,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
643,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
644,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","","Q4-2019"
645,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
646,"SHIP CONSTRUCTION TURNKEY","Fingal","Rahillion, Donabate",1,"*N/A","","","","","","Q4-2019"
647,"SHIP CONSTRUCTION RAPID","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","","Q4-2019"
648,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
649,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
650,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","","Q4-2019"
651,"SHIP CONSTRUCTION RAPID","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",51,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
652,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1",2,"*N/A","","","","","","Q4-2019"
653,"SHIP CONSTRUCTION","Dublin City","Glin Court, Coolock, Dublin 17",25,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
654,"SHIP CONSTRUCTION","Dublin City","Kildonan Road",75,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
655,"SHIP CONSTRUCTION","Dublin City","Lands at Emmet Road",109,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
656,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","","Q1-2019",""
657,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","","Q1-2019",""
658,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
659,"SHIP CONSTRUCTION","Fingal","Rowlestown",10,"*N/A","","","","","","Q2-2019"
660,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",5,"*N/A","","","","","","Q2-2018"
661,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","","Q1-2019"
662,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","","Q2-2020"
663,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",2,"*N/A","","","","","","Q3-2017"
664,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
665,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
666,"SHIP CONSTRUCTION","Fingal","St. Cronan's Cottages, Swords - Infill",1,"*N/A","","","","","","Q2-2016"
667,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2017"
668,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
669,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",15,"*N/A","","","","","","Q1-2018"
670,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","","","Q3-2019"
671,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",4,"*N/A","","","","","","Q3-2018"
672,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2018"
673,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth, Co Dublin",8,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
674,"SHIP CONSTRUCTION","Fingal","Wellview Infill",20,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
675,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
676,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
677,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",48,"T�ath Housing Association Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
678,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
679,"CAS CONSTRUCTION","Fingal","22 College Street, Baldoyle",4,"Cluid Housing Association","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
680,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
681,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
682,"CAS CONSTRUCTION","Fingal","Garristown, Co. Dublin",5,"North ? East Housing Association Ltd","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
683,"CALF Turnkey","Fingal","4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
684,"CALF Turnkey","Fingal","Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,"Respond","","","","","","Q2-2020"
685,"CALF Turnkey","Fingal","An Muileann, Kettles Lane, Swords, Dublin (Phase 1)",24,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
686,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q4-2018"
687,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,"T�ath Housing Association Ltd","","","","","","Q4-2018"
688,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 1)",18,"T�ath Housing Association Ltd","","","","","Q4-2019",""
689,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 2)",15,"T�ath Housing Association Ltd","","","","","Q4-2019",""
690,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 3)",16,"T�ath Housing Association Ltd","","","","","Q4-2019",""
691,"CALF Turnkey","Fingal","Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",59,"Respond","","","","","Q4-2019",""
692,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 1)",5,"T�ath Housing Association Ltd","","","","","","Q2-2016"
693,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 2)",7,"T�ath Housing Association Ltd","","","","","","Q3-2016"
694,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 3)",7,"T�ath Housing Association Ltd","","","","","","Q4-2016"
695,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 4)",21,"T�ath Housing Association Ltd","","","","","","Q1-2017"
696,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 5)",8,"T�ath Housing Association Ltd","","","","","","Q2-2017"
697,"CALF Turnkey","Fingal","Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",138,"Respond","","","","","Q3-2019",""
698,"CALF Turnkey","Fingal","Cois Sruthan, Ballyboughal, Co.Dublin (Phase 1)*",17,"Oaklee Housing","","","","","Q4-2017",""
699,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)",11,"T�ath Housing Association Ltd","","","","","","Q4-2019"
700,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,"T�ath Housing Association Ltd","","","","","Q1-2019",""
701,"CALF Turnkey","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin (Phase 1)*",10,"Cluid Housing","","","","","","Q2-2020"
702,"CALF Turnkey","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin (Phase 2)*",5,"Cluid Housing","","","","","Q3-2018",""
703,"CALF Turnkey","Fingal","Knightsgate, Rush, Co. Dublin (Phase 1)*",38,"Cluid Housing","","","","","","Q4-2019"
704,"CALF Turnkey","Fingal","Knightsgate, Rush, Co. Dublin (phase 2) (Phase 1)",19,"Cluid Housing","","","","","Q4-2018",""
705,"CALF Construction","Fingal","Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,"Cluid Housing","","","","","Q4-2018",""
706,"CALF Turnkey","Fingal","Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,"Cluid Housing","","","","","","Q4-2018"
707,"CALF Turnkey","Fingal","Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,"Respond","","","","","","Q3-2018"
708,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",10,"The Iveagh Trust","","","","","Q3-2018",""
709,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 2)*",18,"The Iveagh Trust","","","","","Q3-2018",""
710,"CALF Turnkey","Fingal","Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,"The Iveagh Trust","","","","","","Q4-2019"
711,"CALF Turnkey","Fingal","Northwood Green, Santry, Dublin 9 (Phase 1)*",6,"Respond","","","","","","Q4-2018"
712,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,"Respond","","","","","","Q4-2019"
713,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",7,"Respond","","","","","","Q2-2020"
714,"CALF Construction","Fingal","Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,"Circle Voluntary Housing Association Ltd","","","","Q1-2019","",""
715,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)*",28,"Respond","","","","","Q4-2018",""
716,"CALF Turnkey","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"T�ath Housing Association Ltd","","","","","","Q3-2019"
717,"CALF Turnkey","Fingal","Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
718,"CALF Turnkey","Fingal","Seamus Ennis Terrace, Naul, Co. Dublin (Phase 1)",2,"Respond","","","","","Q3-2017",""
719,"CALF Turnkey","Fingal","Semple Woods, Donabate, North County Dublin (Phase 1)*",30,"T�ath Housing Association Ltd","","","","","","Q4-2019"
720,"CALF Turnkey","Fingal","St Marnock�s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,"Cluid Housing","","","","","","Q4-2017"
721,"CALF Turnkey","Fingal","St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*",18,"T�ath Housing Association Ltd","","","","","","Q4-2017"
722,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
723,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,"Circle Voluntary Housing Association Ltd","","","","","Q4-2017",""
724,"CALF Turnkey","Fingal","Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
725,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",21,"Cluid Housing","","","","","","Q2-2020"
726,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2018"
727,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,"Cluid Housing","","","","","","Q4-2019"
728,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 2)",1,"Cluid Housing","","","","","Q1-2019",""
729,"CALF Turnkey","Fingal","The Forge, Lusk, Co. Dublin (Phase 1)",8,"Oaklee Housing","","","","","","Q4-2019"
730,"CALF Turnkey","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cluid Housing","","","","","","Q4-2017"
731,"CALF Turnkey","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
732,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,"Oaklee Housing","","","","","","Q4-2019"
733,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,"Oaklee Housing","","","","","Q1-2019",""
734,"CALF Turnkey","Fingal"," Wrens Hill, (Formerly The Galleries),  Donabate, Co. Dublin (Phase 1)",43,"Oaklee Housing","","","","","","Q4-2019"
735,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road (Phase 1)",6,"*N/A","","","","","","Q3-2019"
736,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 2)",16,"*N/A","","","","","","Q4-2019"
737,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 3)",7,"*N/A","","","","","","Q4-2019"
738,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 4)",17,"*N/A","","","","","Q4-2018",""
739,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 5)",4,"*N/A","","","","","Q4-2018",""
740,"SHIP CONSTRUCTION TURNKEY","Galway City","Garra� Caol, (Coast Road Site) Dublin Road, Co. Galway",27,"*N/A","","","","","Q1-2020",""
741,"SHIP CONSTRUCTION TURNKEY","Galway City","Garra� Caol (Coast Road Site) Dublin Road, Co. Galway",26,"*N/A","","","","","Q1-2020",""
742,"SHIP CONSTRUCTION","Fingal","Outlands, Rathbeale Road, Swords, Co.Dublin",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
743,"SHIP CONSTRUCTION","Fingal","Cappagh Lands, Cappagh Road Finglas",69,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
744,"SHIP CONSTRUCTION","Fingal","Rowlestown",4,"*N/A","","","","","","Q3-2019"
745,"SHIP CONSTRUCTION","Fingal","Leonards Garage, Lusk, Co. Dublin",10,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
746,"SHIP CONSTRUCTION","Fingal","Church Road, Lusk",5,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
747,"SHIP CONSTRUCTION","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",19,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
748,"SHIP CONSTRUCTION","Galway City","Ard Cr�, Ballymoneen Road (Phase 2)",78,"*N/A","","","","","Q2-2019",""
