"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
649,"CALF Construction","Dublin City","Ballygall Road East Phase 2 (Phase 1)",11,"Fold Housing Association Ireland Ltd","","","","","","Q1-2016"
650,"CALF Construction","Dublin City","Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,"Cluid Housing","","","","Q2-2018","",""
651,"CALF Turnkey","Dublin City","Blackbanks View, 754 Howth Road, Raheny, Dublin 5 (Phase 1)*",40,"Cluid Housing","","","","","Q3-2019",""
652,"CALF Turnkey","Dublin City","Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,"Túath Housing Association","","","","","","Q2-2018"
653,"CALF Construction","Dublin City","Block A, Jamestown Court, Dublin 8 (Phase 1)",9,"ALONE","","","","","","Q4-2020"
654,"CALF Turnkey","Dublin City","Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,"Respond","","","","","Q4-2019",""
655,"CALF Turnkey","Dublin City","Bluebell Avenue, Dublin 12 (Phase 1)",7,"Túath Housing Association","","","","","","Q4-2018"
656,"CALF Construction","Dublin City","Broome Lodge,\nDunmanus Court, Cabra (Phase 1)",33,"Cluid Housing","","","","","","Q4-2017"
657,"CALF Turnkey","Dublin City","Camac Park, Bluebell, Dublin 12 (Phase 1)",5,"Túath Housing Association","","","","","","Q2-2020"
658,"CALF Turnkey","Dublin City","Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,"Túath Housing Association","","","","","","Q1-2019"
659,"CALF Turnkey","Dublin City","Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,"Respond","","","","","","Q4-2017"
660,"CALF Turnkey","Dublin City","Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,"Respond","","","","","Q2-2019",""
661,"CALF Turnkey","Dublin City","Clongriffin, Dublin 13 (Phase 1)*",84,"The Iveagh Trust","","","","","","Q2-2019"
662,"CALF Turnkey","Dublin City","Connaught Street, Phibsborough, Dublin 7 (Phase 1)",20,"Focus Housing Association CLG","","","","Q3-2020","",""
663,"CALF Turnkey","Dublin City","Cromwellsfort Court, Cromwellsfort Road, Walkinstown, Dublin 12 (Phase 1)*",12,"Oaklee Housing","","","","","","Q3-2020"
664,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 1)",3,"Cluid Housing","","","","","","Q2-2017"
665,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cluid Housing","","","","","","Q3-2017"
666,"CALF Construction","Dublin City","Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
667,"CALF Turnkey","Dublin City","Donnybrook Gardens, Lands of Greenfield Park, Donnybrook, Dublin 4 (Phase 1)*",4,"RHD Housing","","","","","Q1-2018",""
668,"CALF Turnkey","Dublin City","Elanora Court, Long Mile Road, Walkinstown, Dublin 12 (Phase 1)*",153,"Respond","","","","","Q3-2020",""
669,"CALF Construction","Dublin City","Harolds Cross, Dublin 6 (Phase 1)",28,"Focus Housing Association CLG","","","","","","Q4-2016"
670,"CALF Turnkey","Dublin City","Harolds Cross, Dublin 6W (Phase 1)",12,"Respond","","","","Q2-2020","",""
671,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,"Túath Housing Association","","","","","","Q4-2019"
672,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",4,"Túath Housing Association","","","","","","Q4-2020"
673,"CALF Turnkey","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2017"
674,"CALF Turnkey","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cluid Housing","","","","","","Q4-2017"
675,"CALF Turnkey","Dublin City","Mountjoy Square North, Dublin 1 (Phase 1)",31,"Respond","","","","","","Q4-2019"
676,"CALF Turnkey","Dublin City","Newtown Cottages Malahide Road Coolock Dublin 17 (Phase 1)",3,"Clanmil Housing Association Ireland","","","","","Q3-2020",""
677,"CALF Construction","Dublin City","North King Street, Dublin 7  (Phase 1)",30,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
678,"CALF Turnkey","Dublin City","Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,"Túath Housing Association","","","","","","Q4-2019"
679,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 1)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
680,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 2)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
681,"CALF Turnkey","Dublin City","Park West Campus, Kileen Road, Dublin 12 (Phase 1)",41,"Túath Housing Association","","","","","Q4-2020",""
682,"CALF Construction","Dublin City","Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
683,"CALF Construction","Dublin City","Post Tender Johns Lane West Dublin 8 (Phase 1)",31,"Focus Housing Association CLG","","","","","","Q4-2018"
684,"CALF Construction","Dublin City","POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,"Oaklee Housing","","","","","","Q4-2019"
685,"CALF Turnkey","Dublin City","Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,"Túath Housing Association","","","","","Q4-2020",""
686,"CALF Construction","Dublin City","Revised - Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","","","Q3-2020"
687,"CALF Construction","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"Túath Housing Association","","","","","","Q4-2019"
688,"CALF Construction","Dublin City","Revised, St Mary's Mansions, Dublin 1 (Phase 1)",80,"Cluid Housing","","","","","","Q4-2019"
689,"CALF Construction","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
690,"CALF Turnkey","Dublin City","Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,"Cluid Housing","","","","","","Q4-2020"
691,"CALF Turnkey","Dublin City","Royal Canal Park, Ashtown, Dublin 15 (Phase 1)*",46,"Respond","","","","","","Q4-2020"
692,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
693,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
694,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,"Fold Housing Association Ireland Ltd","","","","","","Q2-2020"
695,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
696,"CALF Turnkey","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
697,"CALF Turnkey","Dublin City","Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
698,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 1)",28,"Túath Housing Association","","","","","","Q2-2016"
699,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 2)",18,"Túath Housing Association","","","","","","Q4-2016"
700,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 3)",14,"Túath Housing Association","","","","","","Q1-2017"
701,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 4)",8,"Túath Housing Association","","","","","","Q1-2017"
702,"CALF Turnkey","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
703,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","","Q1-2019",""
704,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","","","Q4-2020"
705,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
706,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
707,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
708,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
709,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
710,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
711,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
712,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
713,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
714,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
715,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
716,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
717,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","","Q4-2019"
718,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
719,"SHIP CONSTRUCTION TURNKEY","Fingal","Rahillion, Donabate",1,"*N/A","","","","","","Q4-2019"
720,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows Avenue/Square, Hollystown Dublin 15",12,"*N/A","","","","","","Q4-2020"
721,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows, Hollystown, Dublin 15",10,"*N/A","","","","","","Q3-2020"
722,"SHIP CONSTRUCTION SINGLE STAGE","Fingal","Outlands, Rathbeale Road, Swords, Co.Dublin",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
723,"SHIP CONSTRUCTION RAPID","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","","Q4-2019"
724,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
725,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
726,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","","Q4-2019"
727,"SHIP CONSTRUCTION RAPID","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",51,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
728,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
729,"SHIP CONSTRUCTION","Fingal","Rowlestown",10,"*N/A","","","","","","Q2-2019"
730,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",5,"*N/A","","","","","","Q2-2018"
731,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","","Q1-2019"
732,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","","Q2-2020"
733,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",2,"*N/A","","","","","","Q3-2017"
734,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
735,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
736,"SHIP CONSTRUCTION","Fingal","St. Cronan's Cottages, Swords - Infill",1,"*N/A","","","","","","Q2-2016"
737,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2017"
738,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
739,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",15,"*N/A","","","","","","Q1-2018"
740,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","","","Q3-2019"
741,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",4,"*N/A","","","","","","Q3-2018"
742,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2018"
743,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth, Co Dublin",8,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
744,"SHIP CONSTRUCTION","Fingal","Wellview Infill",20,"*N/A","","","","","Q3-2020",""
745,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
746,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
747,"SHIP CONSTRUCTION","Fingal","Cappaghfinn, Cappagh Road Finglas - Phase 3",69,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
748,"SHIP CONSTRUCTION","Fingal","Rowlestown",4,"*N/A","","","","","","Q3-2019"
749,"SHIP CONSTRUCTION","Fingal","Leonards Garage, Lusk, Co. Dublin",10,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
750,"SHIP CONSTRUCTION","Fingal","Church Road, Lusk",5,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
751,"SHIP CONSTRUCTION","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",16,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
752,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",48,"Túath Housing Association Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
753,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
754,"CAS CONSTRUCTION","Fingal","22 College Street, Baldoyle",4,"Cluid Housing Association","","","","","Q3-2020",""
755,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
756,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
757,"CAS CONSTRUCTION","Fingal","Garristown, Co. Dublin",5,"North ? East Housing Association Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
758,"CALF Turnkey","Fingal","4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
759,"CALF Turnkey","Fingal","Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,"Respond","","","","","","Q2-2020"
760,"CALF Turnkey","Fingal","An Muileann, Kettles Lane, Swords, Dublin (Phase 1)",24,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
761,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,"Túath Housing Association","","","","","","Q4-2018"
762,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,"Túath Housing Association","","","","","","Q4-2018"
763,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 1)",18,"Túath Housing Association","","","","","Q4-2019",""
764,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 2)",15,"Túath Housing Association","","","","","Q4-2019",""
765,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 3)",16,"Túath Housing Association","","","","","Q4-2019",""
766,"CALF Turnkey","Fingal","Bellingsmore, Hollywoodrath, Dubin 15 (Phase 1)",30,"Túath Housing Association","","","","","","Q4-2020"
767,"CALF Turnkey","Fingal","Bellingsmore, Hollywoodrath, Dubin 15 (Phase 2)",11,"Túath Housing Association","","","","","","Q4-2020"
768,"CALF Turnkey","Fingal","Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",59,"Respond","","","","","Q4-2019",""
769,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 1)",5,"Túath Housing Association","","","","","","Q2-2016"
770,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 2)",7,"Túath Housing Association","","","","","","Q3-2016"
771,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 3)",7,"Túath Housing Association","","","","","","Q4-2016"
772,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 4)",21,"Túath Housing Association","","","","","","Q1-2017"
773,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 5)",8,"Túath Housing Association","","","","","","Q2-2017"
774,"CALF Turnkey","Fingal","Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",138,"Respond","","","","","Q3-2019",""
775,"CALF Turnkey","Fingal","Cois Sruthan, Ballyboughal, Co.Dublin (Phase 1)*",17,"Oaklee Housing","","","","","","Q3-2020"
776,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)",11,"Túath Housing Association","","","","","","Q4-2019"
777,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,"Túath Housing Association","","","","","Q1-2019",""
778,"CALF Turnkey","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin\n\n (Phase 1)*",10,"Cluid Housing","","","","","","Q2-2020"
779,"CALF Turnkey","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin\n\n (Phase 2)*",5,"Cluid Housing","","","","","","Q4-2020"
780,"CALF Turnkey","Fingal","Dunsoghly, Dublin 11 (Phase 1)*",19,"Cluid Housing","","","","","","Q4-2020"
781,"CALF Turnkey","Fingal","Knightsgate, Rush, Co. Dublin (Phase 1)*",38,"Cluid Housing","","","","","","Q4-2019"
782,"CALF Turnkey","Fingal","Knightsgate, Rush, Co. Dublin (phase 2) (Phase 1)",19,"Cluid Housing","","","","","","Q3-2020"
783,"CALF Construction","Fingal","Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,"Cluid Housing","","","","","Q4-2018",""
784,"CALF Turnkey","Fingal","Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,"Cluid Housing","","","","","","Q4-2018"
785,"CALF Turnkey","Fingal","Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,"Respond","","","","","","Q3-2018"
786,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",28,"The Iveagh Trust","","","","","","Q4-2020"
787,"CALF Turnkey","Fingal","Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,"The Iveagh Trust","","","","","","Q4-2019"
788,"CALF Turnkey","Fingal","Norseman's Court, Norseman's Walk, Lusk Village, Lusk, Co. Dublin (Phase 1)*",18,"Cluid Housing","","","","","","Q4-2020"
789,"CALF Turnkey","Fingal","Northwood Green, Santry, Dublin 9 (Phase 1)*",6,"Respond","","","","","","Q4-2018"
790,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,"Respond","","","","","","Q4-2019"
791,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",7,"Respond","","","","","","Q2-2020"
792,"CALF Construction","Fingal","Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,"Circle Voluntary Housing Association Ltd","","","","Q1-2019","",""
793,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)",17,"Respond","","","","","","Q4-2020"
794,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 2)*",11,"Respond","","","","","Q4-2018",""
795,"CALF Turnkey","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"Túath Housing Association","","","","","","Q3-2019"
796,"CALF Turnkey","Fingal","Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
797,"CALF Turnkey","Fingal","Riverwood Square, Dublin 15 (Phase 1)*",24,"Cluid Housing","","","","","Q4-2019",""
798,"CALF Turnkey","Fingal","Seamus Ennis Terrace, Naul, Co. Dublin (Phase 1)",2,"Respond","","","","","Q3-2017",""
799,"CALF Turnkey","Fingal","Semple Woods, Donabate, Co. Dublin (Phase 1)*",7,"Túath Housing Association","","","","","","Q4-2020"
800,"CALF Turnkey","Fingal","Semple Woods, Donabate, Co. Dublin (Phase 2)*",3,"Túath Housing Association","","","","","Q4-2019",""
801,"CALF Turnkey","Fingal","Semple Woods, Donabate, North County Dublin (Phase 1)*",30,"Túath Housing Association","","","","","","Q4-2019"
802,"CALF Turnkey","Fingal","St Marnock's Bay, Portmarnock, Co Dublin   (Phase 1)*",10,"Cluid Housing","","","","","","Q4-2017"
803,"CALF Turnkey","Fingal","St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*",18,"Túath Housing Association","","","","","","Q4-2017"
804,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
805,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,"Circle Voluntary Housing Association Ltd","","","","","Q4-2017",""
806,"CALF Turnkey","Fingal","Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
807,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",21,"Cluid Housing","","","","","","Q2-2020"
808,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2018"
809,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,"Cluid Housing","","","","","","Q4-2019"
810,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 2)",1,"Cluid Housing","","","","","","Q4-2020"
811,"CALF Turnkey","Fingal","The Forge, Lusk, Co. Dublin (Phase 1)",8,"Oaklee Housing","","","","","","Q4-2019"
812,"CALF Turnkey","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cluid Housing","","","","","","Q4-2017"
813,"CALF Turnkey","Fingal","Waterside, Malahide, Dublin (Phase 1)",5,"Cluid Housing","","","","","","Q4-2020"
814,"CALF Turnkey","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
815,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,"Oaklee Housing","","","","","","Q4-2019"
816,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,"Oaklee Housing","","","","","","Q3-2020"
817,"CALF Turnkey","Fingal"," Wrens Hill, (Formerly The Galleries),  Donabate, Co. Dublin (Phase 1)",43,"Oaklee Housing","","","","","","Q4-2019"
818,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gréine, (Glasshouse Site) Monivea Road (Phase 1)",6,"*N/A","","","","","","Q3-2019"
819,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gréine (Glasshouse Site), Monivea Road - (Phase 2)",16,"*N/A","","","","","","Q4-2019"
820,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gréine (Glasshouse Site), Monivea Road - (Phase 3)",7,"*N/A","","","","","","Q4-2019"
821,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gréine (Glasshouse Site), Monivea Road - (Phase 4)",13,"*N/A","","","","","","Q3-2020"
822,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gréine (Glasshouse Site), Monivea Road - (Phase 5)",8,"*N/A","","","","","","Q4-2020"
823,"SHIP CONSTRUCTION TURNKEY","Galway City","Garraí Caol, (Coast Road Site) Dublin Road",27,"*N/A","","","","","Q1-2020",""
824,"SHIP CONSTRUCTION TURNKEY","Galway City","Garraí Caol (Coast Road Site) Dublin Road",26,"*N/A","","","","","Q1-2020",""
825,"SHIP CONSTRUCTION","Galway City","Ard Cré, Ballymoneen Road (Phase 2)",78,"*N/A","","","","","","Q4-2020"
826,"SHIP CONSTRUCTION","Galway City","Ard Cré, Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
827,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",15,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
828,"SHIP CONSTRUCTION","Galway City","Garraí Beag, Monivea Road, Ballybaan More",58,"*N/A","","","","","Q1-2020",""
829,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",69,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
830,"SHIP CONSTRUCTION","Galway City","Keeraun, Ballymoneen Road",60,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
831,"SHIP CONSTRUCTION","Galway City","Clareview Park, Ballybaan",5,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
832,"SHIP CONSTRUCTION","Galway City","Merlin Park Lands, Galway City",18,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
833,"CAS CONSTRUCTION","Galway City","97/98 Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
834,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","","","","","Q4-2020",""
835,"CAS CONSTRUCTION","Galway City","47 Forster Street, Galway City (Domestic Violence Refuge)",9,"Cope Galway","","","","","","Q4-2019"
836,"CAS CONSTRUCTION","Galway City","Doughiska, Galway City",7,"Respond","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
837,"CALF Turnkey","Galway City","Belmont, Renmore, Galway City (Phase 1)*",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
838,"CALF Turnkey","Galway City","Block C, Sraith Fhada, Doughiska, Galway (Phase 1)",11,"Túath Housing Association","","","","","","Q4-2020"
839,"CALF Turnkey","Galway City","Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,"Túath Housing Association","","","","","","Q4-2019"
840,"CALF Turnkey","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
841,"CALF Turnkey","Galway City","Breacan, Letteragh Road, Galway City (Phase 1)*",2,"Túath Housing Association","","","","","","Q4-2019"
