"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1341,"CALF TURNKEY","Limerick","Drominbeg, Rhebogue, Limerick (Phase 2)",10,"Co - Operative Housing Ireland Society Limited","","","","Q1-2020","",""
1342,"CALF TURNKEY","Limerick","Dromsally Woods, Cappamore, Co. Limerick (Phase 1)",5,"Focus Housing Association CLG","","","","","Q3-2020",""
1343,"CALF TURNKEY","Limerick","Glendale Lawn, Bloodmill Road, Limerick (Phase 1)",4,"Cluid Housing","","","","","Q3-2020",""
1344,"CALF CONSTRUCTION","Limerick","Hyde Road, Limerick City (Phase 1)",20,"Cluid Housing","","","","","","Q1-2018"
1345,"CALF TURNKEY","Limerick","Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,"Cluid Housing","","","","","","Q2-2017"
1346,"CALF TURNKEY","Limerick","Toormore, Main Street, Bruree, Co. Limerick (Phase 1)",16,"Cluid Housing","","","","","Q3-2020",""
1347,"CALF TURNKEY","Limerick","Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 1)*",19,"Cluid Housing","","","","Q2-2020","",""
1348,"CALF TURNKEY","Limerick","Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 2)",11,"Cluid Housing","","","","Q2-2020","",""
1349,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",14,"*N/A","","","","","","Q4-2017"
1350,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough",4,"*N/A","","","","","","Q3-2018"
1351,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish (Phase 2)",2,"*N/A","","","","","","Q1-2018"
1352,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck",7,"*N/A","","","","","","Q4-2018"
1353,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 2)",4,"*N/A","","","","","","Q3-2019"
1354,"SHIP CONSTRUCTION TURNKEY","Longford","Ballinamuck (Phase 3)",6,"*N/A","","","","","","Q4-2019"
1355,"SHIP CONSTRUCTION TURNKEY","Longford","Rock View, Cloondara",5,"*N/A","","","","","","Q4-2018"
1356,"SHIP CONSTRUCTION TURNKEY","Longford","Greville Court, Granard",14,"*N/A","","","","","","Q4-2019"
1357,"SHIP CONSTRUCTION TURNKEY","Longford","Knock, Lanesborough (Phase 2)",29,"*N/A","","","","","","Q4-2018"
1358,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",2,"*N/A","","","","","","Q4-2019"
1359,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",4,"*N/A","","","","","","Q3-2019"
1360,"SHIP CONSTRUCTION TURNKEY","Longford","Church Street, Edgeworthstown",5,"*N/A","","","","","","Q3-2020"
1361,"SHIP CONSTRUCTION TURNKEY","Longford","Smithfield, Legan",18,"*N/A","","","","","","Q3-2020"
1362,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q4-2019"
1363,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q2-2019"
1364,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard (Phase 4)",6,"*N/A","","","","","","Q4-2019"
1365,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard (Phase 2)",4,"*N/A","","","","","","Q2-2019"
1366,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish (Phase 3)",4,"*N/A","","","","","","Q3-2019"
1367,"SHIP CONSTRUCTION TURNKEY","Longford"," Abhainn Glas, Edgeworthstown",4,"*N/A","","","","","","Q4-2019"
1368,"SHIP CONSTRUCTION TURNKEY","Longford","Caislean Breac, Newtownforbes",2,"*N/A","","","","","","Q4-2019"
1369,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town, Phase 1",4,"*N/A","","","","","","Q1-2020"
1370,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard(Phase 3)",4,"*N/A","","","","","","Q4-2019"
1371,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",2,"*N/A","","","","","","Q4-2019"
1372,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town, Phase 2",6,"*N/A","","","","","Q4-2019",""
1373,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",7,"*N/A","","","","","","Q4-2019"
1374,"SHIP CONSTRUCTION TURNKEY","Longford","Radharc Na Muileann, Knock, Lanesborough",2,"*N/A","","","","","","Q4-2019"
1375,"SHIP CONSTRUCTION TURNKEY","Longford","Pearse Drive, Longford Town",1,"*N/A","","","","","","Q4-2019"
1376,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town, Phase 3",4,"*N/A","","","","","","Q3-2020"
1377,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",1,"*N/A","","","","","Q4-2019",""
1378,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford",2,"*N/A","","","","","Q4-2019",""
1379,"SHIP CONSTRUCTION","Longford","Rathcline Road, Lanesborough",4,"*N/A","","","","","","Q3-2019"
1380,"SHIP CONSTRUCTION","Longford","Edgeworthstown Road, Ballymahon",4,"*N/A","","","","","","Q1-2018"
1381,"SHIP CONSTRUCTION","Longford","Daroge, Ballymahon",1,"*N/A","","","","","","Q4-2019"
1382,"SHIP CONSTRUCTION","Longford","'Rose Cottage', Ballinalee",6,"*N/A","","","","","Q3-2020",""
1383,"SHIP CONSTRUCTION","Longford","St.Rita's, Park Road, Longford",14,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
1384,"SHIP CONSTRUCTION","Longford","Fairgreen View, Longford Town",1,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1385,"SHIP CONSTRUCTION","Longford","Cranleymore, Abbeylara",3,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1386,"SHIP CONSTRUCTION","Longford","Cloonahard, Edgeworthstown",1,"*N/A","","","","","Q3-2020",""
1387,"CALF TURNKEY","Longford","Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,"Cluid Housing","","","","","","Q1-2017"
1388,"CALF CONSTRUCTION","Longford","Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,"T�ath Housing Association","","","","Q2-2018","",""
1389,"SHIP CONSTRUCTION TURNKEY","Louth","Brabazon Hall, Termonfeckin, Drogheda",5,"*N/A","","","","","","Q4-2019"
1390,"SHIP CONSTRUCTION TURNKEY","Louth","Castletown Road, Dundalk ",6,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1391,"SHIP CONSTRUCTION TURNKEY","Louth","�Gort Bui�, Ballymakenny Road, Drogheda - Phase 1",13,"*N/A","","","","","Q4-2019",""
